"kind","items__kind","items__family","items__category","items__variants-","items__subsets001","items__subsets002","items__subsets003","items__subsets004","items__subsets005","items__subsets006","items__subsets007","items__subsets008","items__variants001","items__variants002","items__variants003","items__variants004","items__variants005","items__variants006","items__variants007","items__variants008","items__variants009","items__variants010","items__variants011","items__variants012","items__variants013","items__variants014","items__variants015","items__variants016","items__variants017","items__variants018","items__subsets-","items__version","items__lastModified","items__files__100","items__files__100italic","items__files__200","items__files__200italic","items__files__300","items__files__300italic","items__files__regular","items__files__500","items__files__500italic","items__files__600","items__files__600italic","items__files__700","items__files__700italic","items__files__800","items__files__800italic","items__files__900","items__files__900italic","items__files__italic"
"","webfonts#webfont","Averia Sans Libre","display","","","","","","","","","","300","300italic","regular","italic","700","700italic","","","","","","","","","","","","","latin","v4","2015-04-06","","","","","http://fonts.gstatic.com/s/averiasanslibre/v4/_9-jTfQjaBsWAF_yp5z-V4CP_KG_g80s1KXiBtJHoNc.ttf","http://fonts.gstatic.com/s/averiasanslibre/v4/o7BEIK-fG3Ykc5Rzteh88YuyGu4JqttndUh4gRKxic0.ttf","http://fonts.gstatic.com/s/averiasanslibre/v4/yRJpjT39KxACO9F31mj_LqV8_KRn4epKAjTFK1s1fsg.ttf","","","","","http://fonts.gstatic.com/s/averiasanslibre/v4/_9-jTfQjaBsWAF_yp5z-V8QwVOrz1y5GihpZmtKLhlI.ttf","http://fonts.gstatic.com/s/averiasanslibre/v4/o7BEIK-fG3Ykc5Rzteh88bXy1DXgmJcVtKjM5UWamMs.ttf","","","","","http://fonts.gstatic.com/s/averiasanslibre/v4/COEzR_NPBSUOl3pFwPbPoCZU2HnUZT1xVKaIrHDioao.ttf"
"","webfonts#webfont","Averia Serif Libre","display","","","","","","","","","","300","300italic","regular","italic","700","700italic","","","","","","","","","","","","","latin","v5","2015-04-06","","","","","http://fonts.gstatic.com/s/averiaseriflibre/v5/yvITAdr5D1nlsdFswJAb8SmC4gFJ2PHmfdVKEd_5S9M.ttf","http://fonts.gstatic.com/s/averiaseriflibre/v5/YOLFXyye4sZt6AZk1QybCG2okl0bU63CauowU4iApig.ttf","http://fonts.gstatic.com/s/averiaseriflibre/v5/fdtF30xa_Erw0zAzOoG4BZqY66i8AUyI16fGqw0iAew.ttf","","","","","http://fonts.gstatic.com/s/averiaseriflibre/v5/yvITAdr5D1nlsdFswJAb8Q50KV5TaOVolur4zV2iZsg.ttf","http://fonts.gstatic.com/s/averiaseriflibre/v5/YOLFXyye4sZt6AZk1QybCNxohRXP4tNDqG3X4Hqn21k.ttf","","","","","http://fonts.gstatic.com/s/averiaseriflibre/v5/o9qhvK9iT5iDWfyhQUe-6Ru_b0bTq5iipbJ9hhgHJ6U.ttf"
"","webfonts#webfont","Bad Script","handwriting","regular","latin","cyrillic","","","","","","","","","","","","","","","","","","","","","","","","","","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/badscript/v5/cRyUs0nJ2eMQFHwBsZNRXfesZW2xOQ-xsNqO47m55DA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Balthazar","serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/balthazar/v5/WgbaSIs6dJAGXJ0qbz2xlw.ttf","","","","","","","","","","",""
"","webfonts#webfont","Bangers","display","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v7","2015-04-06","","","","","","","http://fonts.gstatic.com/s/bangers/v7/WAffdge5w99Xif-DLeqmcA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Basic","sans-serif","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/basic/v6/hNII2mS5Dxw5C0u_m3mXgA.ttf","","","","","","","","","","",""
"","webfonts#webfont","Battambang","display","","","","","","","","","","regular","700","","","","","","","","","","","","","","","","","khmer","v9","2015-04-06","","","","","","","http://fonts.gstatic.com/s/battambang/v9/MzrUfQLefYum5vVGM3EZVPesZW2xOQ-xsNqO47m55DA.ttf","","","","","http://fonts.gstatic.com/s/battambang/v9/dezbRtMzfzAA99DmrCYRMgJKKGfqHaYFsRG-T3ceEVo.ttf","","","","","",""
"","webfonts#webfont","Baumans","display","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v5","2015-04-06","","","","","","","http://fonts.gstatic.com/s/baumans/v5/o0bFdPW1H5kd5saqqOcoVg.ttf","","","","","","","","","","",""
"","webfonts#webfont","Bayon","display","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","khmer","v8","2015-04-03","","","","","","","http://fonts.gstatic.com/s/bayon/v8/yTubusjTnpNRZwA4_50iVw.ttf","","","","","","","","","","",""
"","webfonts#webfont","Belgrano","serif","regular","","","","","","","","","","","","","","","","","","","","","","","","","","","latin","v6","2015-04-06","","","","","","","http://fonts.gstatic.com/s/belgrano/v6/iq8DUa2s7g6WRCeMiFrmtQ.ttf","","","","","","","","","","",""
"","webfonts#webfont","Belleza","sans-serif","regular","latin-ext","latin","","","","","","","","","","","","","","","","","","","","","","","","","","v4","2015-04-06","","","","","","","http://fonts.gstatic.com/s/belleza/v4/wchA3BWJlVqvIcSeNZyXew.ttf","","","","","","","","","","",""
